
PART_NUMBER,Ref Des,MANUFACTUERE,MFG_PN,Qty,DESCRIPTION,VALUE,SUPPLIER,SUPPLIER_PN
00010-00,Y1,Abracon Corporation,ABLS-18.432MHZ-B2-T,1,CRYSTAL 18.432MHZ 18PF FUND SMD,18.432MHZ,DigiKey,535-9072-1-ND
00012-00,C4,Kemet,C1206C475K4PACTU,1,CAP 4.7UF 16V CERAMIC X5R 1206,4.7UF,DigiKey,399-1265-1-ND
00013-00,"D1-D3,D7-D9",Diodes Inc,B120-13-F,6,DIODE SCHOTTKY 1A 20V SMA,?,DigiKey,B120-FDICT-ND
00015-00,J3,Tyco Electronics/Amp,4-103777-0-01,1,CONN HEADR BRKWAY .100 02POS STR,1X2 .100,DigiKey,A26525-01-ND
00023-00,U2,Atmel,ATMEGA48-20AU,1,IC AVR MCU 4K 20MHZ 5V 32TQFP,4K,DigiKey,ATMEGA48-20AU-ND
00071-00,J2,Tyco Electronics/Amp,4-103777-0-03,1,CONN HEADR BRKWAY .100 06POS STR,2X3 HEADER,DigiKey,A26525-03-ND
00222-00,C6,AVX Corporation,08053C334KAZ2A,1,CAP CERM .33UF 10% 25V X7R 0805,330.0NF,DigiKey,478-3556-1-ND
00256-00,U3,Texas Instruments,SN75176BD,1,IC DIFF BUS TXCVR 8-SOIC,?,DigiKey,296-1275-5-ND
00257-00,Q1-Q3,Fairchild Semiconductor,MMBT3904,3,TRANSISTOR GP NPN AMP SOT-23,?,DigiKey,MMBT3904FSCT-ND
00259-00,K1-K3,Tyco Electronics Potter & Brumfield,"OMIH-SH-112L,394",3,RELAY PWR SPDT 16A 12VDC PCB,?,DigiKey,PB885-ND
00260-00,D4-D6,OSRAM Opto Semiconductors Inc,LG N971-KN-1-0-20-R18,3,LED CHIPLED 570NM GREEN 1206 SMD,GREEN,DigiKey,475-1407-1-ND
00261-00,D10,OSRAM Opto Semiconductors Inc,LH N974-KN-1-0-20-R18,1,LED CHIPLED 645NM RED DIFF 1206,RED,DigiKey,475-1416-1-ND
00262-00,U1,Fairchild Semiconductor,MC78L05ACD,1,IC REGULATOR 5V 0.1A 5% 8-SOP,5V 100MA,DigiKey,MC78L05ACD-ND
00263-00,J1,Phoenix Contact,1945106,1,TERM BLOCK HEADER 3POS 3.5MM BLK,?,DigiKey,277-1750-ND
00264-00,J4,Phoenix Contact,1933215,1,TERM BLOCK HEADER 5POS 5MM BLACK,?,DigiKey,277-1648-ND
00266-00,"R1-R3,R7-R9,R11",Rohm Semiconductor,MCR10EZHF1001,7,RES 1.00K OHM 1/8W 1% 0805 SMD,1K,DigiKey,RHM1.00KCCT-ND
00267-00,R4-R6,Rohm Semiconductor,MCR10EZHF1002,3,RES 10.0K OHM 1/8W 1% 0805 SMD,10K,DigiKey,RHM10.0KCCT-ND
00268-00,R10,Rohm Semiconductor,MCR10EZHF1000,1,RES 100 OHM 1/8W 1% 0805 SMD,100,DigiKey,RHM100CCT-ND
00269-00,"C1,C2",AVX Corporation,08051A220KAT2A,2,CAP CERM 22PF 10% 100V NP0 0805,22PF,DigiKey,478-3736-1-ND
00271-00,"C3,C5,C7,C8",Kemet,C0805C104Z5UACTU,4,CAP .10UF 50V CERAMIC Z5U 0805,100.0NF,DigiKey,399-1175-1-ND
TOTAL, , , ,43, , , , 
