
PART_NUMBER,Ref Des,MANUFACTUERE,MFG_PN,Qty,DESCRIPTION,VALUE,SUPPLIER,SUPPLIER_PN
00010-00,Y1,Abracon Corporation,ABLS-18.432MHZ-B2-T,1,CRYSTAL 18.432MHZ 18PF FUND SMD,18.432MHZ,DigiKey,535-9072-1-ND
00012-00,C4,Kemet,C1206C475K4PACTU,1,CAP 4.7UF 16V CERAMIC X5R 1206,4.7UF,DigiKey,399-1265-1-ND
00015-00,J3,Tyco Electronics/Amp,4-103777-0-01,1,CONN HEADR BRKWAY .100 02POS STR,1X2 .100,DigiKey,A26525-01-ND
00023-00,U2,Atmel,ATMEGA48-20AU,1,IC AVR MCU 4K 20MHZ 5V 32TQFP,4K,DigiKey,ATMEGA48-20AU-ND
00071-00,J2,Tyco Electronics/Amp,4-103777-0-03,1,CONN HEADR BRKWAY .100 06POS STR,2X3 HEADER,DigiKey,A26525-03-ND
00222-00,C6,AVX Corporation,08053C334KAZ2A,1,CAP CERM .33UF 10% 25V X7R 0805,330.0NF,DigiKey,478-3556-1-ND
00256-00,U3,Texas Instruments,SN75176BD,1,IC DIFF BUS TXCVR 8-SOIC,?,DigiKey,296-1275-5-ND
00260-00,D1,OSRAM Opto Semiconductors Inc,LG N971-KN-1-0-20-R18,1,LED CHIPLED 570NM GREEN 1206 SMD,GREEN,DigiKey,475-1407-1-ND
00261-00,D10,OSRAM Opto Semiconductors Inc,LH N974-KN-1-0-20-R18,1,LED CHIPLED 645NM RED DIFF 1206,RED,DigiKey,475-1416-1-ND
00262-00,U1,Fairchild Semiconductor,MC78L05ACD,1,IC REGULATOR 5V 0.1A 5% 8-SOP,5V 100MA,DigiKey,MC78L05ACD-ND
00263-00,"J1,J4",Phoenix Contact,1945106,2,TERM BLOCK HEADER 3POS 3.5MM BLK,?,DigiKey,277-1750-ND
00265-00,U4-U8,Fairchild Optoelectronics Group,H11L1M,5,OPTOCOUPLER SCHMITT-TRIG 6-DIP,?,DigiKey,H11L1-MQT-ND
00266-00,R6-R8,Rohm Semiconductor,MCR10EZHF1001,3,RES 1.00K OHM 1/8W 1% 0805 SMD,1K,DigiKey,RHM1.00KCCT-ND
00268-00,R10,Rohm Semiconductor,MCR10EZHF1000,1,RES 100 OHM 1/8W 1% 0805 SMD,100,DigiKey,RHM100CCT-ND
00269-00,"C1,C2",AVX Corporation,08051A220KAT2A,2,CAP CERM 22PF 10% 100V NP0 0805,22PF,DigiKey,478-3736-1-ND
00271-00,"C3,C5,C7-C10",Kemet,C0805C104Z5UACTU,6,CAP .10UF 50V CERAMIC Z5U 0805,100.0NF,DigiKey,399-1175-1-ND
00272-00,J6,Phoenix Contact,1945122,1,TERM BLOCK HEADER 5POS 3.5MM BLK,?,DigiKey,277-1752-ND
00274-00,"U10,U11",Analog Devices Inc,AD5161BRMZ10,2,IC DGTL POT SPI 10K 10-MSOP,10K,DigiKey,AD5161BRMZ10-ND
00275-00,U9,Murata Power Solutions Inc,NKE0505DC,1,CONV DC/DC 1W 5VIN 5VOUT DIP SGL,5V 200MA,DigiKey,811-1433-5-ND
00276-00,R1-R5,Rohm Semiconductor,MCR10EZPF6340,5,RES 634 OHM 1/8W 1% 0805 SMD,634,DigiKey,RHM634CRCT-ND
TOTAL, , , ,38, , , , 
