
PART_NUMBER,Ref Des,MANUFACTUERE,MFG_PN,Qty,DESCRIPTION,VALUE,SUPPLIER,SUPPLIER_PN
00063-00,J3,Mill-Max Manufacturing Corp.,897-30-004-90-000000,1,CONN USB RECEPT TYPE B PCB,USB TYPE B CONNECTOR,DigiKey,ED90003-ND
00256-00,"U12,U13",Texas Instruments,SN75176BD,2,IC DIFF BUS TXCVR 8-SOIC,?,DigiKey,296-1275-5-ND
00263-00,"J1,J2",Phoenix Contact,1945106,2,TERM BLOCK HEADER 3POS 3.5MM BLK,?,DigiKey,277-1750-ND
00265-00,U4-U10,Fairchild Optoelectronics Group,H11L1M,7,OPTOCOUPLER SCHMITT-TRIG 6-DIP,?,DigiKey,H11L1-MQT-ND
00266-00,"R8,R11,R14,R15",Rohm Semiconductor,MCR10EZHF1001,4,RES 1.00K OHM 1/8W 1% 0805 SMD,1K,DigiKey,RHM1.00KCCT-ND
00267-00,R6,Rohm Semiconductor,MCR10EZHF1002,1,RES 10.0K OHM 1/8W 1% 0805 SMD,10K,DigiKey,RHM10.0KCCT-ND
00268-00,"R16,R17",Rohm Semiconductor,MCR10EZHF1000,2,RES 100 OHM 1/8W 1% 0805 SMD,100,DigiKey,RHM100CCT-ND
00270-00,C5,Kemet,C0805C103Z5UACTU,1,CAP 10000PF 50V CERAMIC Z5U 0805,10.0NF,DigiKey,399-1173-1-ND
00271-00,"C4,C6,C7,C9,C10",Kemet,C0805C104Z5UACTU,5,CAP .10UF 50V CERAMIC Z5U 0805,100.0NF,DigiKey,399-1175-1-ND
00275-00,U11,Murata Power Solutions Inc,NKE0505DC,1,CONV DC/DC 1W 5VIN 5VOUT DIP SGL,5V 200MA,DigiKey,811-1433-5-ND
00276-00,"R7,R9,R10,R12,R13",Rohm Semiconductor,MCR10EZPF6340,5,RES 634 OHM 1/8W 1% 0805 SMD,634,DigiKey,RHM634CRCT-ND
00277-00,U2,"FTDI, Future Technology Devices International L",FT2232D R,1,IC USB UART/FIFO DUAL 48-LQFP,?,DigiKey,768-1010-1-ND
00278-00,R4,Rohm Semiconductor,MCR10EZPF4700,1,RES 470 OHM 1/8W 1% 0805 SMD,470,DigiKey,RHM470CRCT-ND
00279-00,R3,Rohm Semiconductor,MCR10EZPF1501,1,RES 1.50K OHM 1/8W 1% 0805 SMD,1.50K,DigiKey,RHM1.50KCRCT-ND
00280-00,"R1,R2",Rohm Semiconductor,MCR10EZPF27R0,2,RES 27.0 OHM 1/8W 1% 0805 SMD,27.0,DigiKey,RHM27.0CRCT-ND
00281-00,"C1,C2",Kemet,C0805C270J5GACTU,2,CAP CERAMIC 27PF 50V NP0 0805,27PF,DigiKey,399-1114-1-ND
00282-00,C3,Murata Electronics North America,GRM216F51H333ZA01D,1,CAP CER 33000PF 50V Y5V 0805,33.0NF,DigiKey,490-1721-1-ND
00284-00,FB1,Steward,MI0805K400R-10,1,FERRITE 1.5A 40 OHM 0805 SMD,?,DigiKey,240-2389-1-ND
00285-00,Y1,Citizen America Corporation - Component Sales Division,HCM49 6.000MABJ-UT,1,CRYSTAL 6.000 MHZ SMT 18PF,6MHZ,DigiKey,300-8535-1-ND
00286-00,C8,TDK Corporation,C2012Y5V1A106Z,1,CAP CER 10UF 10V Y5V 0805,10UF,DigiKey,445-1371-1-ND
00288-00,U3,Atmel,AT93C46EN-SH-B,1,IC SRL EEPROM 1K 1.8V 8SOIC,1K,DigiKey,AT93C46EN-SH-B-ND
00289-00,R5,Rohm Semiconductor,MCR10EZPF2201,1,RES 2.20K OHM 1/8W 1% 0805 SMD,2.2K,DigiKey,RHM2.20KCRCT-ND
TOTAL, , , ,44, , , , 
